"","Voyage","Deployment","Acc","Taxa","CAAB","weight_g","Count","sub","comment","Storage_temp","Preservative","Container name","ACat","Taxa_Groups"
"146","in2020_v08",14,5,"Sergestes spp.",28720906,10,15,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"147","in2020_v08",17,13,"Sergestes spp.",28720906,5,3,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"148","in2020_v08",18,10,"Sergestes spp.",28720906,1,2,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"149","in2020_v08",22,4,"Sergestes spp.",28720906,8,16,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"150","in2020_v08",22,14,"Sergestes spp.",28720906,2,19,"red",NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"151","in2020_v08",28,37,"Sergestes spp.",28720906,10,25,"Pink",NA,"-20 degC",NA,NA,"Prawn","Crustacean"
"152","in2020_v08",28,50,"Sergestes spp.",28720906,2,12,NA,NA,"-20 degC",NA,NA,"Prawn","Crustacean"
"153","in2020_v08",29,34,"Sergestes spp.",28720906,9,19,"pink",NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"154","in2020_v08",30,33,"Sergestes spp.",28720906,2,9,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"155","in2020_v08",30,46,"Sergestes spp.",28720906,17,40,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"156","in2020_v08",35,21,"Sergestes spp.",28720906,10,10,"pink",NA,"-20 degC",NA,NA,"Prawn","Crustacean"
"157","in2020_v08",36,30,"Sergestes spp.",28720906,2,13,"red/orange",NA,"-20 degC",NA,NA,"Prawn","Crustacean"
"158","in2020_v08",36,42,"Sergestes spp.",28720906,5,17,"pink",NA,"-20 degC",NA,NA,"Prawn","Crustacean"
"159","in2020_v08",41,41,"Sergestes spp.",28720906,2,2,"pink",NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"160","in2020_v08",42,15,"Sergestes spp.",28720906,0.5,1,"pink",NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"161","in2020_v08",1,18,"Phorcosergia potens",28720020,5,3,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"162","in2020_v08",7,21,"Phorcosergia potens",28720020,19,45,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"163","in2020_v08",12,11,"Phorcosergia potens",28720020,3,4,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"164","in2020_v08",13,5,"Phorcosergia potens",28720020,32,3,"Weight","is","-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"165","in2020_v08",14,7,"Phorcosergia potens",28720020,4,18,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"166","in2020_v08",18,17,"Phorcosergia potens",28720020,2,12,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"167","in2020_v08",22,5,"Phorcosergia potens",28720020,20,30,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"168","in2020_v08",29,35,"Phorcosergia potens",28720020,60,115,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"169","in2020_v08",1,38,"Gennadas spp.",28713903,5,29,"purple","legs","-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"170","in2020_v08",26,11,"Gennadas spp.",28713903,0.5,3,"<","1","-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"171","in2020_v08",28,4,"Gennadas spp.",28713903,45,93,NA,NA,"-20 degC",NA,NA,"Prawn","Crustacean"
"172","in2020_v08",28,5,"Gennadas spp.",28713903,45,16,NA,NA,"-20 degC",NA,NA,"Prawn","Crustacean"
"173","in2020_v08",35,36,"Gennadas spp.",28713903,16,36,NA,NA,"-20 degC",NA,NA,"Prawn","Crustacean"
"174","in2020_v08",36,38,"Gennadas spp.",28713903,30,74,NA,NA,"-20 degC",NA,NA,"Prawn","Crustacean"
"175","in2020_v08",41,16,"Gennadas spp.",28713903,60,64,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"176","in2020_v08",42,6,"Gennadas spp.",28713903,32,38,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"177","in2020_v08",46,10,"Gennadas spp.",28713903,83,80,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"178","in2020_v08",47,5,"Gennadas spp.",28713903,25,33,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"179","in2020_v08",52,4,"Gennadas spp.",28713903,36,53,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"180","in2020_v08",30,30,"Gennadas gilchristi",28713007,5,10,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"181","in2020_v08",12,31,"Thysanoessa spp.",28702907,1,19,NA,NA,"-20 degC",NA,"Plastic Bag","Krill","Crustacean"
"182","in2020_v08",13,48,"Thysanoessa spp.",28702907,NA,4,NA,NA,"-20 degC",NA,"Plastic Bag","Krill","Crustacean"
"183","in2020_v08",15,30,"Thysanoessa spp.",28702907,0.5,9,"<","1","-20 degC",NA,"Plastic Bag","Krill","Crustacean"
"184","in2020_v08",16,8,"Thysanoessa spp.",28702907,0.5,7,NA,NA,"-20 degC",NA,"Plastic Bag","Krill","Crustacean"
